Voice Name (Persona),Category,Script Text,FILENAME,Question Only,Answer Only,Stability,Similarity,Style
Uncle Bull Balladeer,NUMBER CALL,"Let's see who knows their country history!  <break time=""1.0s"" /> What California city gave us the gritty country sound of Buck Owens and Merle Haggard?!<break time=""2.0s"" /> Second time around, we're lookin' for what city is the home of the California country sound?!<break time=""2.0s"" /> Last call!  <break time=""1.0s"" /> What California city gave us the gritty country sound of Buck Owens and Merle Haggard?!<break time=""2.0s"" /> The answer we're lookin' for is Bakersfield!  <break time=""1.0s"" /> That's Bakersfield!<break time=""1.0s"" /> The Bakersfield Sound was a direct rebellion against the slickly produced Nashville sound! ",Bakersfield_UNCLE_BULL,What California city gave us the gritty country sound of Buck Owens and Merle Haggard?,Bakersfield,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Pay attention to this next one!  <break time=""1.0s"" /> What California prison did Johnny Cash famously record a live album at in 1968?!<break time=""2.0s"" /> For the second time, what prison did Johnny Cash play at in 1968?!<break time=""2.0s"" /> Final time I'm askin'!  <break time=""1.0s"" /> What California prison did Johnny Cash famously record a live album at in 1968?!<break time=""2.0s"" /> The right answer is Folsom Prison!  <break time=""1.0s"" /> That's Folsom Prison!<break time=""1.0s"" /> The live album recorded there totally revitalized his entire career! ",Folsom_Prison_UNCLE_BULL,What California prison did Johnny Cash famously record a live album at in 1968?,Folsom Prison,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Alright, let's keep it movin' with this question!  <break time=""1.0s"" /> What Texas town did Waylon and Willie sing about going to?!<break time=""2.0s"" /> Check your cards, we need to know what Texas town did Waylon and Willie sing about?!<break time=""2.0s"" /> Final time on this one!  <break time=""1.0s"" /> What Texas town did Waylon and Willie sing about going to?!<break time=""2.0s"" /> The right answer is Luckenbach!  <break time=""1.0s"" /> That's Luckenbach!<break time=""1.0s"" /> The song made the tiny town an absolute tourist destination for country fans! ",Luckenbach_UNCLE_BULL,What Texas town did Waylon and Willie sing about going to?,Luckenbach,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Let's see who knows their country history!  <break time=""1.0s"" /> What famous Nashville cafe is the ultimate proving ground for country songwriters?!<break time=""2.0s"" /> For the second time, what is the famous songwriter cafe in Nashville?!<break time=""2.0s"" /> Last warning, folks!  <break time=""1.0s"" /> What famous Nashville cafe is the ultimate proving ground for country songwriters?!<break time=""2.0s"" /> The right answer is Bluebird Cafe!  <break time=""1.0s"" /> That's Bluebird Cafe!<break time=""1.0s"" /> Taylor Swift was famously discovered while playing a gig there! ",Bluebird_Cafe_UNCLE_BULL,What famous Nashville cafe is the ultimate proving ground for country songwriters?,Bluebird Cafe,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Here comes your next trivia question!  <break time=""1.0s"" /> What is the name of the famous neon-lit street in downtown Nashville?!<break time=""2.0s"" /> Second time around, we're lookin' for what is the famous street of honky-tonks in Nashville?!<break time=""2.0s"" /> Final time on this one!  <break time=""1.0s"" /> What is the name of the famous neon-lit street in downtown Nashville?!<break time=""2.0s"" /> Check those cards for Broadway!  <break time=""1.0s"" /> That's Broadway!<break time=""1.0s"" /> It is packed wall-to-wall with multi-story bars owned by massive country stars! ",Broadway_UNCLE_BULL,What is the name of the famous neon-lit street in downtown Nashville?,Broadway,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Here comes your next trivia question!  <break time=""1.0s"" /> What state is famously associated with John Denver's Country Roads?!<break time=""2.0s"" /> Listen close, I'm askin' what state is Country Roads about?!<break time=""2.0s"" /> Final time on this one!  <break time=""1.0s"" /> What state is famously associated with John Denver's Country Roads?!<break time=""2.0s"" /> The answer we need is West Virginia!  <break time=""1.0s"" /> That's West Virginia!<break time=""1.0s"" /> The song is actually an official state anthem of West Virginia! ",West_Virginia_UNCLE_BULL,What state is famously associated with John Denver's Country Roads?,West Virginia,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Let's kick things up a notch with this question!  <break time=""1.0s"" /> What state is George Strait singin' about when he says all his exes live there?!<break time=""2.0s"" /> Listen close, I'm askin' what state do all of George Strait's exes live in?!<break time=""2.0s"" /> Last call!  <break time=""1.0s"" /> What state is George Strait singin' about when he says all his exes live there?!<break time=""2.0s"" /> The answer we're lookin' for is Texas!  <break time=""1.0s"" /> That's Texas!<break time=""1.0s"" /> That classic hit won him a Grammy nomination back in 1988! ",Texas_UNCLE_BULL,What state is George Strait singin' about when he says all his exes live there?,Texas,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Let's see who knows their country history!  <break time=""1.0s"" /> George Jones was famously known by what animal-inspired nickname?!<break time=""2.0s"" /> Second time around, we're lookin' for what was George Jones's nickname?!<break time=""2.0s"" /> Third and final time!  <break time=""1.0s"" /> George Jones was famously known by what animal-inspired nickname?!<break time=""2.0s"" /> You should be lookin' for The Possum!  <break time=""1.0s"" /> That's The Possum!<break time=""1.0s"" /> He got the nickname early in his career because of his facial features! ",The_Possum_UNCLE_BULL,George Jones was famously known by what animal-inspired nickname?,The Possum,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Get those daubers ready for this one!  <break time=""1.0s"" /> Who is affectionately known around the world as the Queen of Country?!<break time=""2.0s"" /> Listen close, I'm askin' who is the Queen of Country?!<break time=""2.0s"" /> Last call!  <break time=""1.0s"" /> Who is affectionately known around the world as the Queen of Country?!<break time=""2.0s"" /> Check those cards for Dolly Parton!  <break time=""1.0s"" /> That's Dolly Parton!<break time=""1.0s"" /> She is one of the most successful and philanthropic entertainers in American history! ",Dolly_Parton_UNCLE_BULL,Who is affectionately known around the world as the Queen of Country?,Dolly Parton,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Get those daubers ready for this one!  <break time=""1.0s"" /> What was the legendary moniker given to Johnny Cash based on his wardrobe?!<break time=""2.0s"" /> Second time around, we're lookin' for what was Johnny Cash's famous nickname?!<break time=""2.0s"" /> Last warning, folks!  <break time=""1.0s"" /> What was the legendary moniker given to Johnny Cash based on his wardrobe?!<break time=""2.0s"" /> The answer we're lookin' for is The Man in Black!  <break time=""1.0s"" /> That's The Man in Black!<break time=""1.0s"" /> He wore black to protest the treatment of poor and hungry people! ",The_Man_in_Black_UNCLE_BULL,What was the legendary moniker given to Johnny Cash based on his wardrobe?,The Man in Black,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Get those daubers ready for this one!  <break time=""1.0s"" /> Who is known to her millions of fans as the Coal Miner's Daughter?!<break time=""2.0s"" /> Listen close, I'm askin' who is the Coal Miner's Daughter?!<break time=""2.0s"" /> Final time I'm askin'!  <break time=""1.0s"" /> Who is known to her millions of fans as the Coal Miner's Daughter?!<break time=""2.0s"" /> You should be lookin' for Loretta Lynn!  <break time=""1.0s"" /> That's Loretta Lynn!<break time=""1.0s"" /> Her autobiography and the subsequent movie were massive cultural phenomena! ",Loretta_Lynn_UNCLE_BULL,Who is known to her millions of fans as the Coal Miner's Daughter?,Loretta Lynn,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Get those daubers ready for this one!  <break time=""1.0s"" /> Willie Nelson is famously known by what colorful nickname?!<break time=""2.0s"" /> For the second time, what is Willie Nelson's nickname?!<break time=""2.0s"" /> Last call!  <break time=""1.0s"" /> Willie Nelson is famously known by what colorful nickname?!<break time=""2.0s"" /> The answer we're lookin' for is The Red Headed Stranger!  <break time=""1.0s"" /> That's The Red Headed Stranger!<break time=""1.0s"" /> It was the title of his iconic 1975 concept album! ",The_Red_Headed_Stranger_UNCLE_BULL,Willie Nelson is famously known by what colorful nickname?,The Red Headed Stranger,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Movin' right along, pay attention to this question!  <break time=""1.0s"" /> What country superstar earned the nickname The Chief?!<break time=""2.0s"" /> For the second time, who is known as The Chief?!<break time=""2.0s"" /> Third and final time!  <break time=""1.0s"" /> What country superstar earned the nickname The Chief?!<break time=""2.0s"" /> The answer we're lookin' for is Eric Church!  <break time=""1.0s"" /> That's Eric Church!<break time=""1.0s"" /> He earned the nickname from his signature aviator sunglasses and rebellious attitude! ",Eric_Church_UNCLE_BULL,What country superstar earned the nickname The Chief?,Eric Church,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"And here we go with this next question!  <break time=""1.0s"" /> What was the nickname of legendary outlaw Merle Haggard?!<break time=""2.0s"" /> For the second time, what was Merle Haggard's nickname?!<break time=""2.0s"" /> Last call!  <break time=""1.0s"" /> What was the nickname of legendary outlaw Merle Haggard?!<break time=""2.0s"" /> Check those cards for The Hag!  <break time=""1.0s"" /> That's The Hag!<break time=""1.0s"" /> He actually spent time in San Quentin prison before launching his legendary career! ",The_Hag_UNCLE_BULL,What was the nickname of legendary outlaw Merle Haggard?,The Hag,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Here comes your next trivia question!  <break time=""1.0s"" /> Who is universally recognized as the King of Country?!<break time=""2.0s"" /> Think about it, who knows who is the King of Country?!<break time=""2.0s"" /> Third and final time!  <break time=""1.0s"" /> Who is universally recognized as the King of Country?!<break time=""2.0s"" /> The answer we need is George Strait!  <break time=""1.0s"" /> That's George Strait!<break time=""1.0s"" /> He has amassed more number one hits than any other artist in a single genre! ",George_Strait_UNCLE_BULL,Who is universally recognized as the King of Country?,George Strait,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Here comes your next trivia question!  <break time=""1.0s"" /> What superstar is known as the Queen of Country Pop?!<break time=""2.0s"" /> Listen close, I'm askin' who is the Queen of Country Pop?!<break time=""2.0s"" /> Final time on this one!  <break time=""1.0s"" /> What superstar is known as the Queen of Country Pop?!<break time=""2.0s"" /> You should be lookin' for Shania Twain!  <break time=""1.0s"" /> That's Shania Twain!<break time=""1.0s"" /> Her album Come On Over is the best-selling country album of all time! ",Shania_Twain_UNCLE_BULL,What superstar is known as the Queen of Country Pop?,Shania Twain,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Movin' right along, pay attention to this question!  <break time=""1.0s"" /> What legendary singer was simply known as The Gambler?!<break time=""2.0s"" /> Second time around, we're lookin' for who was known as The Gambler?!<break time=""2.0s"" /> Final time I'm askin'!  <break time=""1.0s"" /> What legendary singer was simply known as The Gambler?!<break time=""2.0s"" /> The answer we need is Kenny Rogers!  <break time=""1.0s"" /> That's Kenny Rogers!<break time=""1.0s"" /> The song was so popular it spawned a series of made-for-television movies! ",Kenny_Rogers_UNCLE_BULL,What legendary singer was simply known as The Gambler?,Kenny Rogers,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Get those daubers ready for this one!  <break time=""1.0s"" /> What hit television show features Reba McEntire as a fiery single mother?!<break time=""2.0s"" /> For the second time, what sitcom starred Reba McEntire?!<break time=""2.0s"" /> Final time on this one!  <break time=""1.0s"" /> What hit television show features Reba McEntire as a fiery single mother?!<break time=""2.0s"" /> Check those cards for Reba!  <break time=""1.0s"" /> That's Reba!<break time=""1.0s"" /> The show ran for six seasons and was a massive television hit! ",Reba_UNCLE_BULL,What hit television show features Reba McEntire as a fiery single mother?,Reba,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Let's see who knows their country history!  <break time=""1.0s"" /> What hit TV show did Blake Shelton coach on for twenty-three seasons?!<break time=""2.0s"" /> Listen close, I'm askin' what singing show did Blake Shelton coach on?!<break time=""2.0s"" /> Final time I'm askin'!  <break time=""1.0s"" /> What hit TV show did Blake Shelton coach on for twenty-three seasons?!<break time=""2.0s"" /> The answer we need is The Voice!  <break time=""1.0s"" /> That's The Voice!<break time=""1.0s"" /> He won the show an incredible nine times during his legendary run! ",The_Voice_UNCLE_BULL,What hit TV show did Blake Shelton coach on for twenty-three seasons?,The Voice,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Movin' right along, pay attention to this question!  <break time=""1.0s"" /> What reality singing competition launched the career of Carrie Underwood?!<break time=""2.0s"" /> Listen close, I'm askin' what show did Carrie Underwood win?!<break time=""2.0s"" /> Last call!  <break time=""1.0s"" /> What reality singing competition launched the career of Carrie Underwood?!<break time=""2.0s"" /> The answer we need is American Idol!  <break time=""1.0s"" /> That's American Idol!<break time=""1.0s"" /> She won season four and became a massive country superstar! ",American_Idol_UNCLE_BULL,What reality singing competition launched the career of Carrie Underwood?,American Idol,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"And here we go with this next question!  <break time=""1.0s"" /> What hit nineties movie starred Whitney Houston and featured Dolly Parton's song I Will Always Love You?!<break time=""2.0s"" /> Second time around, we're lookin' for what movie featured I Will Always Love You?!<break time=""2.0s"" /> Third and final time!  <break time=""1.0s"" /> What hit nineties movie starred Whitney Houston and featured Dolly Parton's song I Will Always Love You?!<break time=""2.0s"" /> Check those cards for The Bodyguard!  <break time=""1.0s"" /> That's The Bodyguard!<break time=""1.0s"" /> Dolly Parton made a fortune off the royalties from Whitney's massive cover! ",The_Bodyguard_UNCLE_BULL,What hit nineties movie starred Whitney Houston and featured Dolly Parton's song I Will Always Love You?,The Bodyguard,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Here comes your next trivia question!  <break time=""1.0s"" /> What movie starring John Travolta reignited the country line dancing craze in 1980?!<break time=""2.0s"" /> Second time around, we're lookin' for what movie started the line dancing craze in 1980?!<break time=""2.0s"" /> Final time on this one!  <break time=""1.0s"" /> What movie starring John Travolta reignited the country line dancing craze in 1980?!<break time=""2.0s"" /> The right answer is Urban Cowboy!  <break time=""1.0s"" /> That's Urban Cowboy!<break time=""1.0s"" /> The movie made mechanical bulls an absolute must-have in country bars! ",Urban_Cowboy_UNCLE_BULL,What movie starring John Travolta reignited the country line dancing craze in 1980?,Urban Cowboy,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Movin' right along, pay attention to this question!  <break time=""1.0s"" /> What hit modern TV show features Lainey Wilson and a ton of independent country music?!<break time=""2.0s"" /> Listen close, I'm askin' what hit cowboy show features Lainey Wilson?!<break time=""2.0s"" /> Final time on this one!  <break time=""1.0s"" /> What hit modern TV show features Lainey Wilson and a ton of independent country music?!<break time=""2.0s"" /> Check those cards for Yellowstone!  <break time=""1.0s"" /> That's Yellowstone!<break time=""1.0s"" /> The show's soundtrack has launched the careers of multiple independent country artists! ",Yellowstone_UNCLE_BULL,What hit modern TV show features Lainey Wilson and a ton of independent country music?,Yellowstone,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Let's see who knows their country history!  <break time=""1.0s"" /> What classic movie starred George Strait as a singer named Dusty Chandler?!<break time=""2.0s"" /> Think about it, who knows what movie starred George Strait?!<break time=""2.0s"" /> Final time on this one!  <break time=""1.0s"" /> What classic movie starred George Strait as a singer named Dusty Chandler?!<break time=""2.0s"" /> You should be lookin' for Pure Country!  <break time=""1.0s"" /> That's Pure Country!<break time=""1.0s"" /> The soundtrack became his most commercially successful album of all time! ",Pure_Country_UNCLE_BULL,What classic movie starred George Strait as a singer named Dusty Chandler?,Pure Country,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Pay attention to this next one!  <break time=""1.0s"" /> What Coen Brothers movie gave us the hit song I Am A Man Of Constant Sorrow?!<break time=""2.0s"" /> For the second time, what movie featured Man Of Constant Sorrow?!<break time=""2.0s"" /> Final time I'm askin'!  <break time=""1.0s"" /> What Coen Brothers movie gave us the hit song I Am A Man Of Constant Sorrow?!<break time=""2.0s"" /> The right answer is O Brother Where Art Thou!  <break time=""1.0s"" /> That's O Brother Where Art Thou!<break time=""1.0s"" /> The soundtrack won the Grammy for Album of the Year in 2002! ",O_Brother_Where_Art_Thou_UNCLE_BULL,What Coen Brothers movie gave us the hit song I Am A Man Of Constant Sorrow?,O Brother Where Art Thou,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Here comes your next trivia question!  <break time=""1.0s"" /> What famous actor played Johnny Cash in the movie Walk the Line?!<break time=""2.0s"" /> Check your cards, we need to know who played Johnny Cash in Walk the Line?!<break time=""2.0s"" /> Last warning, folks!  <break time=""1.0s"" /> What famous actor played Johnny Cash in the movie Walk the Line?!<break time=""2.0s"" /> The right answer is Joaquin Phoenix!  <break time=""1.0s"" /> That's Joaquin Phoenix!<break time=""1.0s"" /> He actually learned to sing and play guitar to perform all the songs himself! ",Joaquin_Phoenix_UNCLE_BULL,What famous actor played Johnny Cash in the movie Walk the Line?,Joaquin Phoenix,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Let's see who knows their pop culture! <break time=""1.0s"" /> What classic Burt Reynolds movie featured Jerry Reed's massive truck driving anthem, East Bound and Down?!<break time=""2.0s"" /> Second time around, we're lookin' for what movie gave us East Bound and Down?!<break time=""2.0s"" /> Final time I'm askin'! <break time=""1.0s"" /> What classic Burt Reynolds movie featured Jerry Reed's massive truck driving anthem, East Bound and Down?!<break time=""2.0s"" /> The answer we're lookin' for is Smokey and the Bandit! <break time=""1.0s"" /> That's Smokey and the Bandit! <break time=""1.0s"" /> Jerry Reed actually co-starred in the movie as a truck driver named Snowman!",Smokey_and_the_Bandit_UNCLE_BULL,What classic Burt Reynolds movie featured Jerry Reed's massive truck driving anthem East Bound and Down?,Smokey and the Bandit,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Get those daubers ready for this one!  <break time=""1.0s"" /> What is the famous name of Willie Nelson's beat-up acoustic guitar?!<break time=""2.0s"" /> Think about it, who knows what does Willie call his guitar?!<break time=""2.0s"" /> Last call!  <break time=""1.0s"" /> What is the famous name of Willie Nelson's beat-up acoustic guitar?!<break time=""2.0s"" /> The answer we're lookin' for is Trigger!  <break time=""1.0s"" /> That's Trigger!<break time=""1.0s"" /> He has played that exact same guitar at almost every single show since 1969! ",Trigger_UNCLE_BULL,What is the famous name of Willie Nelson's beat-up acoustic guitar?,Trigger,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"And here we go with this next question!  <break time=""1.0s"" /> What is the name of Johnny Cash's famous backing band?!<break time=""2.0s"" /> Second time around, we're lookin' for who backed up Johnny Cash?!<break time=""2.0s"" /> Final time on this one!  <break time=""1.0s"" /> What is the name of Johnny Cash's famous backing band?!<break time=""2.0s"" /> The answer we need is The Tennessee Three!  <break time=""1.0s"" /> That's The Tennessee Three!<break time=""1.0s"" /> Those boys gave him that famous boom-chicka-boom sound that changed music forever! ",The_Tennessee_Three_UNCLE_BULL,What is the name of Johnny Cash's famous backing band?,The Tennessee Three,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"And here we go with this next question!  <break time=""1.0s"" /> What was the name of Hank Williams' famous backing band?!<break time=""2.0s"" /> Think about it, who knows who backed up Hank Williams?!<break time=""2.0s"" /> Final time I'm askin'!  <break time=""1.0s"" /> What was the name of Hank Williams' famous backing band?!<break time=""2.0s"" /> The answer we're lookin' for is The Drifting Cowboys!  <break time=""1.0s"" /> That's The Drifting Cowboys!<break time=""1.0s"" /> They defined the classic honky-tonk sound of the early nineteen fifties! ",The_Drifting_Cowboys_UNCLE_BULL,What was the name of Hank Williams' famous backing band?,The Drifting Cowboys,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Let's see who knows their country history!  <break time=""1.0s"" /> What supergroup featured Cash, Nelson, Jennings, and Kristofferson?!<break time=""2.0s"" /> Think about it, who knows who was the outlaw supergroup?!<break time=""2.0s"" /> Final time I'm askin'!  <break time=""1.0s"" /> What supergroup featured Cash, Nelson, Jennings, and Kristofferson?!<break time=""2.0s"" /> Check those cards for The Highwaymen!  <break time=""1.0s"" /> That's The Highwaymen!<break time=""1.0s"" /> They were the ultimate Mount Rushmore of outlaw country music! ",The_Highwaymen_UNCLE_BULL,"What supergroup featured Cash, Nelson, Jennings, and Kristofferson?",The Highwaymen,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Get those daubers ready for this one!  <break time=""1.0s"" /> What genre of country music was pioneered by Bill Monroe?!<break time=""2.0s"" /> Listen close, I'm askin' who pioneered the genre Bluegrass?!<break time=""2.0s"" /> Final time I'm askin'!  <break time=""1.0s"" /> What genre of country music was pioneered by Bill Monroe?!<break time=""2.0s"" /> The answer we're lookin' for is Bluegrass!  <break time=""1.0s"" /> That's Bluegrass!<break time=""1.0s"" /> The style is named after his band, the Blue Grass Boys! ",Bluegrass_UNCLE_BULL,What genre of country music was pioneered by Bill Monroe?,Bluegrass,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Movin' right along, pay attention to this question!  <break time=""1.0s"" /> What famous mother-daughter duo sang Love Can Build A Bridge?!<break time=""2.0s"" /> Second time around, we're lookin' for who is the famous mother-daughter country duo?!<break time=""2.0s"" /> Final time I'm askin'!  <break time=""1.0s"" /> What famous mother-daughter duo sang Love Can Build A Bridge?!<break time=""2.0s"" /> You should be lookin' for The Judds!  <break time=""1.0s"" /> That's The Judds!<break time=""1.0s"" /> Naomi and Wynonna scored fourteen number one hits during their incredible run! ",The_Judds_UNCLE_BULL,What famous mother-daughter duo sang Love Can Build A Bridge?,The Judds,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"And here we go with this next question!  <break time=""1.0s"" /> Which all-female group officially dropped the word Dixie from their name in 2020?!<break time=""2.0s"" /> Listen close, I'm askin' who dropped the word Dixie from their name?!<break time=""2.0s"" /> Last call!  <break time=""1.0s"" /> Which all-female group officially dropped the word Dixie from their name in 2020?!<break time=""2.0s"" /> You should be lookin' for The Chicks!  <break time=""1.0s"" /> That's The Chicks!<break time=""1.0s"" /> They are the best-selling female band and best-selling country group in U.S. history! ",The_Chicks_UNCLE_BULL,Which all-female group officially dropped the word Dixie from their name in 2020?,The Chicks,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Let's see who knows their country history!  <break time=""1.0s"" /> What modern trio officially shortened their name from Antebellum?!<break time=""2.0s"" /> For the second time, who shortened their name from Antebellum?!<break time=""2.0s"" /> Last warning, folks!  <break time=""1.0s"" /> What modern trio officially shortened their name from Antebellum?!<break time=""2.0s"" /> The answer we're lookin' for is Lady A!  <break time=""1.0s"" /> That's Lady A!<break time=""1.0s"" /> They made the change in 2020 to be more inclusive! ",Lady_A_UNCLE_BULL,What modern trio officially shortened their name from Antebellum?,Lady A,0.8,0.8,0
Uncle Bull Balladeer,NUMBER CALL,"Movin' right along, pay attention to this question!  <break time=""1.0s"" /> What supergroup features Miranda Lambert, Ashley Monroe, and Angaleena Presley?!<break time=""2.0s"" /> Listen close, I'm askin' what is Miranda Lambert's supergroup?!<break time=""2.0s"" /> Final time I'm askin'!  <break time=""1.0s"" /> What supergroup features Miranda Lambert, Ashley Monroe, and Angaleena Presley?!<break time=""2.0s"" /> The answer we need is Pistol Annies!  <break time=""1.0s"" /> That's Pistol Annies!<break time=""1.0s"" /> They surprised fans with a debut performance at the Academy of Country Music awards! ",Pistol_Annies_UNCLE_BULL,"What supergroup features Miranda Lambert, Ashley Monroe, and Angaleena Presley?",Pistol Annies,0.8,0.8,0
